graph,size_parameter,n_nodes,n_edges,k,algorithm,seeds,selection_estimated_spread,estimated_spread,quality_ratio_to_greedy,runtime_seconds,spread_evaluations,transmitted_candidates
barabasi_albert,70,70,402,6,random,35 10 29 69 64 62,12.0,9.0,0.47368421052631576,0.00037140000495128334,1,0
barabasi_albert,70,70,402,6,degree,0 5 2 16 6 7,38.0,32.5,1.7105263157894737,0.0008920000109355897,1,0
barabasi_albert,70,70,402,6,pagerank,0 7 16 48 43 52,30.0,30.0,1.5789473684210527,0.0003463999892119318,1,0
barabasi_albert,70,70,402,6,greedy,37 16 69 61 12 26,38.0,19.0,1.0,0.08761319999757688,406,0
barabasi_albert,70,70,402,6,celf,12 47 61 18 0 2,17.5,27.0,1.4210526315789473,0.020557199997710995,145,0
barabasi_albert,70,70,402,6,distributed_m2_q1k,0 10 44 5 45 48,35.8,28.5,1.5,0.5002072999923257,450,12
barabasi_albert,70,70,402,6,distributed_m2_q2k,5 10 0 52 7 2,36.0,29.0,1.5263157894736843,1.1816716000030283,840,24
barabasi_albert,70,70,402,6,distributed_m2_q5k,0 14 2 12 33 43,37.0,28.0,1.4736842105263157,3.408320199989248,1578,60
barabasi_albert,70,70,402,6,distributed_m4_q1k,0 5 14 64 2 68,36.4,32.0,1.6842105263157894,0.7106069000001298,494,24
barabasi_albert,70,70,402,6,distributed_m4_q2k,0 2 5 4 66 62,36.5,32.0,1.6842105263157894,1.413557399995625,854,48
barabasi_albert,70,70,402,6,distributed_m4_q5k,0 5 34 12 9 45,38.4,30.5,1.605263157894737,1.872330400001374,1058,70
barabasi_albert,70,70,402,6,distributed_m8_q1k,2 4 14 0 12 69,38.5,32.0,1.6842105263157894,1.192869000005885,582,48
barabasi_albert,70,70,402,6,distributed_m8_q2k,2 0 52 43 14 13,36.2,27.5,1.4473684210526316,2.0178672000038205,756,70
barabasi_albert,70,70,402,6,distributed_m8_q5k,0 19 7 4 55 39,37.2,27.0,1.4210526315789473,1.4962362999940524,756,70
watts_strogatz,60,60,360,6,random,24 36 47 45 55 37,18.5,20.0,1.2121212121212122,0.00040210000588558614,1,0
watts_strogatz,60,60,360,6,degree,23 2 13 49 55 5,16.5,23.5,1.4242424242424243,0.0003862000012304634,1,0
watts_strogatz,60,60,360,6,pagerank,23 13 24 14 49 53,26.0,21.0,1.2727272727272727,0.0002598999999463558,1,0
watts_strogatz,60,60,360,6,greedy,6 55 2 11 49 34,32.0,16.5,1.0,0.13777450000634417,346,0
watts_strogatz,60,60,360,6,celf,34 40 5 35 3 10,15.5,15.5,0.9393939393939394,0.01337220000277739,129,0
watts_strogatz,60,60,360,6,distributed_m2_q1k,5 15 30 17 24 57,20.5,20.0,1.2121212121212122,0.6411856000049738,390,12
watts_strogatz,60,60,360,6,distributed_m2_q2k,48 34 25 19 38 30,24.7,18.5,1.121212121212121,1.143634199994267,720,24
watts_strogatz,60,60,360,6,distributed_m2_q5k,36 28 5 40 50 2,24.3,17.0,1.0303030303030303,1.7362909000075888,1278,60
watts_strogatz,60,60,360,6,distributed_m4_q1k,40 23 57 5 3 18,25.3,20.0,1.2121212121212122,0.41733559999556746,434,24
watts_strogatz,60,60,360,6,distributed_m4_q2k,5 23 40 17 6 52,24.5,18.5,1.121212121212121,0.7836340000067139,734,48
watts_strogatz,60,60,360,6,distributed_m4_q5k,48 6 53 14 38 35,26.6,20.0,1.2121212121212122,0.9048441000049934,830,60
watts_strogatz,60,60,360,6,distributed_m8_q1k,18 38 52 49 2 43,24.2,18.5,1.121212121212121,0.43776810000417754,522,48
watts_strogatz,60,60,360,6,distributed_m8_q2k,28 42 48 1 56 45,24.1,21.5,1.303030303030303,0.5094379000074696,610,60
watts_strogatz,60,60,360,6,distributed_m8_q5k,14 50 38 27 9 2,24.1,18.0,1.0909090909090908,0.5176592999923741,610,60
karate,34,34,156,5,random,24 21 28 0 16,14.0,19.5,0.8666666666666667,0.0002776000037556514,1,0
karate,34,34,156,5,degree,33 0 32 1 2,22.0,25.5,1.1333333333333333,0.0004056000034324825,1,0
karate,34,34,156,5,pagerank,33 32 0 1 2,26.5,25.0,1.1111111111111112,0.0005774000019300729,1,0
karate,34,34,156,5,greedy,2 11 1 27 4,23.0,22.5,1.0,0.044269600010011345,161,0
karate,34,34,156,5,celf,9 0 3 8 17,10.0,22.0,0.9777777777777777,0.016477700002724305,75,0
karate,34,34,156,5,distributed_m2_q1k,0 2 32 1 31,22.5,26.0,1.1555555555555554,0.1166873000038322,193,10
karate,34,34,156,5,distributed_m2_q2k,33 0 5 18 9,22.1,24.0,1.0666666666666667,0.3487071000126889,343,20
karate,34,34,156,5,distributed_m2_q5k,33 0 31 23 25,22.8,24.5,1.0888888888888888,0.4078860000008717,469,34
karate,34,34,156,5,distributed_m4_q1k,33 0 14 29 31,22.6,26.5,1.1777777777777778,0.24175359999935608,225,20
karate,34,34,156,5,distributed_m4_q2k,33 19 0 6 3,22.2,23.0,1.0222222222222221,0.3012223000114318,327,34
karate,34,34,156,5,distributed_m4_q5k,33 0 14 3 27,21.9,24.5,1.0888888888888888,0.23261030000867322,327,34
karate,34,34,156,5,distributed_m8_q1k,2 33 12 5 31,22.5,26.0,1.1555555555555554,0.2838178000092739,259,34
karate,34,34,156,5,distributed_m8_q2k,32 0 33 27 10,23.3,25.0,1.1111111111111112,0.1884507999930065,259,34
karate,34,34,156,5,distributed_m8_q5k,33 0 29 24 16,23.6,25.0,1.1111111111111112,0.2241958000086015,259,34
